booking_id,lead_id,client_id,package_id,package_name,service_category,booking_date,session_date,booking_status,booking_value
1,1082,991,5,Brand Builder,Branding/headshots,2025-10-28,2026-02-02,completed,781.27
2,150,686,5,Brand Builder,Branding/headshots,2025-04-12,2025-04-21,completed,768.73
3,1158,1066,1,Mini Moment,Mini sessions,2024-09-14,2024-10-15,completed,223.55
4,103,985,3,Signature Story,Couples,2024-04-29,2024-07-08,rescheduled,695.62
5,1717,100,4,Milestone,Graduation,2025-07-19,2025-09-15,rescheduled,559.32
6,301,70,2,Essential Portrait,Newborn,2024-02-28,2024-06-21,completed,498.25
7,1010,180,5,Brand Builder,Branding/headshots,2025-05-19,2025-06-16,completed,859.01
8,889,789,2,Essential Portrait,Family portraits,2025-09-24,2025-11-14,cancelled,487.17
9,1706,513,2,Essential Portrait,Newborn,2025-07-28,2025-11-08,rescheduled,496.35
10,770,440,4,Milestone,Graduation,2024-11-06,2025-01-31,cancelled,493.63
11,460,44,5,Brand Builder,Branding/headshots,2025-11-11,2025-12-29,completed,793.73
12,1788,185,4,Milestone,Graduation,2024-11-21,2025-01-20,completed,522.63
13,1632,119,4,Milestone,Graduation,2024-12-28,2025-04-07,completed,560.59
14,1212,721,4,Milestone,Graduation,2025-12-20,2026-01-23,completed,525.69
15,1547,330,2,Essential Portrait,Family portraits,2025-01-02,2025-01-18,rescheduled,458.08
16,694,186,1,Mini Moment,Mini sessions,2025-04-03,2025-06-28,completed,230.02
17,625,842,5,Brand Builder,Branding/headshots,2025-05-14,2025-09-07,completed,901.78
18,116,1156,2,Essential Portrait,Newborn,2024-11-09,2025-02-18,completed,508.78
19,234,295,2,Essential Portrait,Family portraits,2024-11-03,2024-12-03,completed,487.46
20,1499,476,1,Mini Moment,Mini sessions,2024-04-05,2024-06-18,completed,212.32
21,992,541,2,Essential Portrait,Family portraits,2024-10-17,2025-01-02,completed,511.3
22,24,113,6,Wedding Collection,Weddings,2025-05-31,2025-06-22,completed,2931.12
23,81,996,6,Wedding Collection,Weddings,2025-03-19,2025-07-17,completed,3377.95
24,1682,673,3,Signature Story,Couples,2025-06-25,2025-07-29,rescheduled,634.05
25,513,875,5,Brand Builder,Branding/headshots,2024-11-14,2025-02-23,completed,863.66
26,685,626,2,Essential Portrait,Family portraits,2025-08-14,2025-09-19,completed,487.04
27,416,77,2,Essential Portrait,Newborn,2025-06-18,2025-08-04,completed,480.75
28,1462,938,5,Brand Builder,Branding/headshots,2025-08-30,2025-12-03,completed,909.29
29,101,1077,4,Milestone,Graduation,2025-01-18,2025-04-03,completed,532.91
30,844,397,1,Mini Moment,Mini sessions,2025-03-14,2025-05-31,completed,205.28
31,581,271,3,Signature Story,Couples,2024-12-16,2025-03-08,confirmed,610.14
32,1639,182,1,Mini Moment,Mini sessions,2024-12-10,2025-02-01,completed,222.56
33,1430,808,2,Essential Portrait,Maternity,2024-03-08,2024-03-26,completed,506.55
34,477,1090,2,Essential Portrait,Newborn,2025-08-09,2025-09-27,completed,502.45
35,667,441,3,Signature Story,Couples,2024-10-08,2025-01-21,completed,646.82
36,1507,981,4,Milestone,Graduation,2024-10-08,2024-12-12,completed,558.78
37,1544,199,3,Signature Story,Couples,2025-12-17,2026-03-27,completed,591.42
38,258,993,1,Mini Moment,Mini sessions,2024-03-25,2024-05-31,completed,210.73
39,1141,35,1,Mini Moment,Mini sessions,2024-10-31,2025-02-20,rescheduled,216.71
40,179,176,2,Essential Portrait,Maternity,2025-05-04,2025-08-12,completed,443.48
41,540,771,4,Milestone,Graduation,2025-09-19,2025-12-10,completed,476.55
42,832,886,3,Signature Story,Couples,2025-10-25,2026-02-14,completed,652.02
43,631,866,4,Milestone,Graduation,2025-10-29,2026-02-19,completed,556.81
44,529,33,2,Essential Portrait,Maternity,2024-05-18,2024-08-22,completed,447.84
45,910,53,6,Wedding Collection,Weddings,2024-02-08,2024-06-04,completed,3267.09
46,815,86,2,Essential Portrait,Maternity,2024-12-13,2025-03-23,completed,476.87
47,1641,287,4,Milestone,Graduation,2025-12-25,2026-02-13,completed,494.55
48,1460,978,6,Wedding Collection,Weddings,2025-05-29,2025-07-04,completed,3336.36
49,1719,539,4,Milestone,Graduation,2025-12-27,2026-03-20,completed,560.13
50,386,305,6,Wedding Collection,Weddings,2024-09-24,2024-11-08,completed,3182.47
51,919,15,6,Wedding Collection,Weddings,2025-10-27,2026-01-13,completed,3441.18
52,79,630,2,Essential Portrait,Family portraits,2025-10-17,2025-11-03,confirmed,450.49
53,26,151,6,Wedding Collection,Weddings,2024-04-26,2024-08-12,completed,3158.11
54,799,1193,2,Essential Portrait,Maternity,2025-08-24,2025-12-15,completed,484.46
55,243,966,6,Wedding Collection,Weddings,2025-07-22,2025-11-13,completed,3026.49
56,933,572,2,Essential Portrait,Maternity,2024-11-04,2025-02-14,confirmed,448.46
57,1433,409,4,Milestone,Graduation,2025-04-18,2025-07-09,completed,517.11
58,1581,485,2,Essential Portrait,Newborn,2025-11-28,2025-12-15,completed,512.11
59,9,812,5,Brand Builder,Branding/headshots,2024-09-25,2024-10-12,cancelled,892.36
60,350,1191,1,Mini Moment,Mini sessions,2025-01-19,2025-03-14,cancelled,206.14
61,1549,95,2,Essential Portrait,Family portraits,2025-07-23,2025-09-26,completed,472.56
62,909,178,1,Mini Moment,Mini sessions,2024-04-09,2024-06-05,completed,241.83
63,988,642,6,Wedding Collection,Weddings,2024-12-04,2025-03-23,cancelled,3290.38
64,754,767,2,Essential Portrait,Family portraits,2024-07-01,2024-09-21,completed,455.54
65,155,357,1,Mini Moment,Mini sessions,2025-10-21,2026-02-12,completed,228.56
66,244,493,5,Brand Builder,Branding/headshots,2024-07-21,2024-09-07,completed,893.64
67,1467,632,4,Milestone,Graduation,2025-06-02,2025-08-07,completed,492.99
68,693,482,2,Essential Portrait,Family portraits,2024-07-22,2024-09-15,rescheduled,450.75
69,221,435,2,Essential Portrait,Family portraits,2024-03-24,2024-06-24,completed,435.26
70,653,619,4,Milestone,Graduation,2024-12-26,2025-02-20,rescheduled,478.96
71,1403,1049,4,Milestone,Graduation,2024-07-28,2024-11-23,completed,491.87
72,228,550,2,Essential Portrait,Maternity,2024-10-09,2024-10-16,completed,444.55
73,403,1064,5,Brand Builder,Branding/headshots,2024-11-18,2024-12-20,completed,900.76
74,396,1139,2,Essential Portrait,Family portraits,2025-11-06,2025-12-16,completed,503.42
75,835,1162,5,Brand Builder,Branding/headshots,2024-06-07,2024-08-02,completed,894.73
76,730,30,5,Brand Builder,Branding/headshots,2025-04-27,2025-07-21,completed,845.37
77,612,28,6,Wedding Collection,Weddings,2025-03-20,2025-06-06,completed,3048.17
78,274,724,5,Brand Builder,Branding/headshots,2025-07-23,2025-09-03,completed,827.05
79,1727,207,4,Milestone,Graduation,2024-12-08,2025-04-07,completed,540.04
80,1398,131,6,Wedding Collection,Weddings,2024-06-20,2024-07-21,completed,3069.12
81,1129,1079,2,Essential Portrait,Family portraits,2024-04-19,2024-07-31,confirmed,511.33
82,648,57,6,Wedding Collection,Weddings,2024-05-18,2024-09-01,completed,3374.84
83,157,481,5,Brand Builder,Branding/headshots,2024-12-08,2025-01-14,completed,912.14
84,985,790,1,Mini Moment,Mini sessions,2025-09-11,2025-10-02,confirmed,242.18
85,957,342,1,Mini Moment,Mini sessions,2025-08-04,2025-09-21,completed,212.95
86,408,65,2,Essential Portrait,Family portraits,2025-10-24,2025-11-15,completed,485.84
87,46,761,2,Essential Portrait,Family portraits,2024-12-06,2025-01-05,rescheduled,440.85
88,788,730,2,Essential Portrait,Family portraits,2025-11-21,2026-03-17,completed,481.1
89,4,322,2,Essential Portrait,Family portraits,2025-10-18,2025-11-27,rescheduled,478.98
90,1167,93,6,Wedding Collection,Weddings,2025-10-12,2025-11-30,rescheduled,3220.69
91,1309,1143,2,Essential Portrait,Maternity,2025-05-21,2025-09-01,completed,452.34
92,1589,1138,1,Mini Moment,Mini sessions,2024-06-10,2024-08-22,completed,219.21
93,1105,923,2,Essential Portrait,Family portraits,2024-02-12,2024-04-08,rescheduled,464.47
94,1437,407,1,Mini Moment,Mini sessions,2024-11-11,2024-12-16,completed,224.18
95,867,500,2,Essential Portrait,Family portraits,2024-04-14,2024-05-20,confirmed,463.03
96,965,30,5,Brand Builder,Branding/headshots,2024-09-29,2024-12-02,completed,770.08
97,182,29,3,Signature Story,Couples,2025-11-27,2025-12-04,completed,674.65
98,471,1084,2,Essential Portrait,Family portraits,2025-08-20,2025-12-13,completed,495.62
99,1659,675,1,Mini Moment,Mini sessions,2024-12-12,2025-03-31,completed,214.2
100,1534,512,5,Brand Builder,Branding/headshots,2025-05-28,2025-06-23,completed,796.43
101,1397,361,2,Essential Portrait,Maternity,2024-02-20,2024-05-14,completed,488.13
102,1306,662,1,Mini Moment,Mini sessions,2025-10-22,2026-01-17,completed,206.77
103,1094,1025,3,Signature Story,Couples,2024-12-14,2025-01-31,cancelled,613.26
104,1490,430,2,Essential Portrait,Newborn,2025-06-19,2025-07-26,completed,477.26
105,1645,10,6,Wedding Collection,Weddings,2025-10-25,2025-11-20,completed,3123.93
106,1529,779,1,Mini Moment,Mini sessions,2025-10-30,2025-12-07,completed,209.2
107,564,366,2,Essential Portrait,Newborn,2024-09-27,2024-10-27,completed,475.57
108,1603,437,2,Essential Portrait,Newborn,2025-05-10,2025-07-23,completed,429.84
109,196,380,4,Milestone,Graduation,2025-04-29,2025-06-25,completed,521.25
110,1254,786,1,Mini Moment,Mini sessions,2025-11-12,2026-01-13,completed,208.29
111,1753,572,3,Signature Story,Couples,2025-05-24,2025-06-28,completed,620.13
112,1635,315,6,Wedding Collection,Weddings,2024-11-08,2025-01-18,completed,3053.49
113,1422,1109,2,Essential Portrait,Newborn,2024-07-28,2024-11-15,completed,433.15
114,1189,1124,4,Milestone,Graduation,2025-04-30,2025-08-23,rescheduled,548.96
115,1540,564,2,Essential Portrait,Family portraits,2025-07-02,2025-07-26,cancelled,501.53
116,392,181,2,Essential Portrait,Newborn,2025-10-08,2026-01-06,completed,469.76
117,375,919,4,Milestone,Graduation,2025-06-21,2025-10-14,completed,490.27
118,204,1146,1,Mini Moment,Mini sessions,2025-12-06,2025-12-25,completed,222.42
119,600,193,3,Signature Story,Couples,2025-10-08,2025-11-10,completed,606.09
120,926,761,2,Essential Portrait,Maternity,2025-11-30,2026-03-02,completed,450.41
121,920,493,5,Brand Builder,Branding/headshots,2025-12-22,2026-03-06,rescheduled,899.68
122,1566,346,1,Mini Moment,Mini sessions,2025-05-16,2025-06-13,completed,203.77
123,521,1096,1,Mini Moment,Mini sessions,2024-02-19,2024-05-23,completed,227.62
124,511,225,2,Essential Portrait,Family portraits,2024-12-18,2025-04-14,completed,447.55
125,3,767,2,Essential Portrait,Newborn,2025-09-01,2025-10-17,completed,455.97
126,534,30,2,Essential Portrait,Family portraits,2024-07-17,2024-10-05,completed,481.38
127,119,310,5,Brand Builder,Branding/headshots,2024-10-07,2024-11-13,completed,889.26
128,735,654,5,Brand Builder,Branding/headshots,2025-06-29,2025-09-23,completed,795.15
129,486,688,2,Essential Portrait,Maternity,2024-12-22,2025-02-04,completed,486.2
130,16,242,2,Essential Portrait,Family portraits,2025-02-15,2025-06-15,rescheduled,449.57
131,1648,582,2,Essential Portrait,Family portraits,2024-08-24,2024-11-29,completed,431.8
132,637,351,3,Signature Story,Couples,2024-06-26,2024-07-28,completed,661.97
133,941,244,4,Milestone,Graduation,2024-09-21,2024-10-09,completed,529.77
134,877,862,1,Mini Moment,Mini sessions,2026-01-08,2026-04-27,confirmed,235.24
135,972,477,2,Essential Portrait,Family portraits,2025-06-17,2025-08-25,completed,451.22
136,536,648,6,Wedding Collection,Weddings,2025-05-04,2025-08-03,completed,3331.04
137,291,395,3,Signature Story,Couples,2025-06-26,2025-07-06,completed,650.89
138,1466,958,2,Essential Portrait,Family portraits,2025-11-08,2025-11-19,completed,464.89
139,848,68,2,Essential Portrait,Family portraits,2024-12-31,2025-04-14,completed,477.55
140,1598,629,1,Mini Moment,Mini sessions,2026-01-16,2026-02-12,completed,242.33
141,943,316,5,Brand Builder,Branding/headshots,2024-07-12,2024-07-24,completed,909.37
142,826,986,2,Essential Portrait,Newborn,2024-10-23,2024-12-12,completed,501.61
143,1664,13,5,Brand Builder,Branding/headshots,2025-10-28,2026-01-14,completed,796.67
144,1482,1114,3,Signature Story,Couples,2025-01-20,2025-03-14,completed,631.73
145,869,240,1,Mini Moment,Mini sessions,2024-10-20,2025-01-04,completed,204.54
146,762,392,5,Brand Builder,Branding/headshots,2024-03-12,2024-04-03,completed,819.38
147,1756,824,5,Brand Builder,Branding/headshots,2025-06-01,2025-08-04,completed,879.41
148,1233,5,2,Essential Portrait,Family portraits,2024-08-17,2024-11-24,completed,486.96
149,871,1020,4,Milestone,Graduation,2024-11-07,2024-12-04,completed,549.68
150,1609,775,1,Mini Moment,Mini sessions,2024-08-30,2024-09-12,completed,226.64
151,1415,1198,5,Brand Builder,Branding/headshots,2024-05-14,2024-06-23,completed,776.89
152,1334,325,6,Wedding Collection,Weddings,2024-10-16,2025-02-05,completed,3059.64
153,1716,727,5,Brand Builder,Branding/headshots,2025-05-26,2025-07-17,completed,895.78
154,955,1038,2,Essential Portrait,Maternity,2024-12-03,2025-02-14,completed,436.32
155,1159,700,4,Milestone,Graduation,2025-11-10,2026-02-13,completed,500.2
156,1508,831,2,Essential Portrait,Maternity,2024-09-20,2024-10-22,cancelled,492.72
157,1378,228,1,Mini Moment,Mini sessions,2024-06-27,2024-07-29,completed,232.6
158,473,742,5,Brand Builder,Branding/headshots,2025-01-26,2025-02-18,rescheduled,869.86
159,1751,535,2,Essential Portrait,Family portraits,2025-06-08,2025-09-25,completed,506.6
160,1270,1030,4,Milestone,Graduation,2025-10-03,2026-01-19,completed,553.57
161,641,676,3,Signature Story,Couples,2025-01-11,2025-05-01,completed,693.08
162,900,744,1,Mini Moment,Mini sessions,2024-11-24,2025-03-17,completed,205.93
163,235,554,6,Wedding Collection,Weddings,2024-05-28,2024-08-14,completed,3051.65
164,95,795,6,Wedding Collection,Weddings,2025-02-24,2025-04-07,confirmed,3256.93
165,1625,978,4,Milestone,Graduation,2024-05-26,2024-07-22,completed,498.97
166,548,539,1,Mini Moment,Mini sessions,2025-10-23,2025-12-06,completed,233.56
167,746,773,6,Wedding Collection,Weddings,2025-08-13,2025-10-11,completed,2988.92
168,1031,679,6,Wedding Collection,Weddings,2024-04-02,2024-06-13,cancelled,3387.62
169,122,936,1,Mini Moment,Mini sessions,2024-09-02,2024-10-12,completed,241.28
170,245,1131,2,Essential Portrait,Family portraits,2025-06-18,2025-08-19,completed,435.44
171,493,994,5,Brand Builder,Branding/headshots,2025-09-08,2025-11-11,completed,857.17
172,17,545,2,Essential Portrait,Family portraits,2025-12-29,2026-04-19,completed,488.03
173,698,1,2,Essential Portrait,Maternity,2025-01-25,2025-04-01,completed,432.91
174,335,650,5,Brand Builder,Branding/headshots,2025-05-17,2025-09-01,completed,915.92
175,1712,435,2,Essential Portrait,Family portraits,2024-10-31,2024-11-13,rescheduled,460.94
176,817,318,1,Mini Moment,Mini sessions,2025-08-07,2025-11-01,completed,236.31
177,717,585,3,Signature Story,Couples,2025-12-13,2026-02-17,completed,617.75
178,627,232,5,Brand Builder,Branding/headshots,2024-02-11,2024-03-29,cancelled,860.47
